date;region_code;region_name;lat;long;hospitalized_with_symptoms;intensive_care;total_hospitalized;home_isolation;positive_tests;new_positive_tests;discharged;deceased;total_cases;total_tests;;;;;;;;;;;;
28/02/2020;13;Abruzzo;4.235.122.196;1.339.843.823;1;0;1;0;1;0;0;0;1;33;;;;;;;;;;;;
28/02/2020;17;Basilicata;4.063.947.052;1.580.514.834;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28/02/2020;4;P.A. Bolzano;4.649.933.453;1.135.662.422;1;0;1;0;1;0;0;0;1;2;;;;;;;;;;;;
28/02/2020;18;Calabria;3.890.597.598;1.659.440.194;0;0;0;1;1;1;0;0;1;21;;;;;;;;;;;;
28/02/2020;15;Campania;4.083.956.555;1.425.084.984;2;0;2;2;4;1;0;0;4;213;;;;;;;;;;;;
28/02/2020;8;Emilia Romagna;4.449.436.681;113.417.208;56;6;62;81;143;47;0;2;145;1277;;;;;;;;;;;;
28/02/2020;6;Friuli Venezia Giulia;456.494.354;1.376.813.649;0;0;0;0;0;0;0;0;0;169;;;;;;;;;;;;
28/02/2020;12;Lazio;4.189.277.044;1.248.366.722;0;0;0;0;0;0;3;0;3;611;;;;;;;;;;;;
28/02/2020;7;Liguria;4.441.149.315;89.326.992;9;0;9;10;19;0;0;0;19;112;;;;;;;;;;;;
28/02/2020;3;Lombardia;4.546.679.409;9.190.347.404;235;47;282;192;474;125;40;17;531;4835;;;;;;;;;;;;
28/02/2020;11;Marche;4.361.675.973;135.188.753;3;2;5;1;6;3;0;0;6;47;;;;;;;;;;;;
28/02/2020;14;Molise;4.155.774.754;1.465.916.051;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28/02/2020;1;Piemonte;450.732.745;7.680.687.483;7;0;7;4;11;9;0;0;11;227;;;;;;;;;;;;
28/02/2020;16;Puglia;4.112.559.576;1.686.736.689;1;0;1;2;3;2;0;0;3;242;;;;;;;;;;;;
28/02/2020;20;Sardegna;3.921.531.192;9.110.616.306;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;
28/02/2020;19;Sicilia;3.811.569.725;133.623.567;1;0;1;1;2;0;2;0;4;5;;;;;;;;;;;;
28/02/2020;9;Toscana;4.376.923.077;1.125.588.885;5;0;5;2;7;5;1;0;8;437;;;;;;;;;;;;
28/02/2020;4;P.A. Trento;4.606.893.511;1.112.123.097;0;0;0;0;0;0;0;0;0;32;;;;;;;;;;;;
28/02/2020;10;Umbria;4.310.675.841;1.238.824.698;0;0;0;0;0;0;0;0;0;8;;;;;;;;;;;;
28/02/2020;2;Valle d'Aosta;4.573.750.286;7.320.149.366;0;0;0;0;0;0;0;0;0;9;;;;;;;;;;;;
28/02/2020;5;Veneto;4.543.490.485;1.233.845.213;24;9;33;116;149;40;0;2;151;7414;;;;;;;;;;;;
29/02/2020;13;Abruzzo;4.235.122.196;1.339.843.823;2;0;2;0;2;1;0;0;2;43;;;;;;;;;;;;
29/02/2020;17;Basilicata;4.063.947.052;1.580.514.834;0;0;0;0;0;0;0;0;0;32;;;;;;;;;;;;
29/02/2020;4;P.A. Bolzano;4.649.933.453;1.135.662.422;1;0;1;0;1;0;0;0;1;16;;;;;;;;;;;;
29/02/2020;18;Calabria;3.890.597.598;1.659.440.194;0;0;0;1;1;0;0;0;1;27;;;;;;;;;;;;
29/02/2020;15;Campania;4.083.956.555;1.425.084.984;3;0;3;10;13;9;0;0;13;373;;;;;;;;;;;;
29/02/2020;8;Emilia Romagna;4.449.436.681;113.417.208;86;11;97;116;213;70;0;4;217;1550;;;;;;;;;;;;
29/02/2020;6;Friuli Venezia Giulia;456.494.354;1.376.813.649;0;0;0;0;0;0;0;0;0;189;;;;;;;;;;;;
29/02/2020;12;Lazio;4.189.277.044;1.248.366.722;3;0;3;0;3;3;3;0;6;679;;;;;;;;;;;;
29/02/2020;7;Liguria;4.441.149.315;89.326.992;4;1;5;33;38;19;4;0;42;121;;;;;;;;;;;;
29/02/2020;3;Lombardia;4.546.679.409;9.190.347.404;256;80;336;216;552;78;40;23;615;5723;;;;;;;;;;;;
29/02/2020;11;Marche;4.361.675.973;135.188.753;6;2;8;3;11;5;0;0;11;68;;;;;;;;;;;;
29/02/2020;14;Molise;4.155.774.754;1.465.916.051;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29/02/2020;1;Piemonte;450.732.745;7.680.687.483;7;0;7;4;11;0;0;0;11;308;;;;;;;;;;;;
29/02/2020;16;Puglia;4.112.559.576;1.686.736.689;1;0;1;2;3;0;0;0;3;252;;;;;;;;;;;;
29/02/2020;20;Sardegna;3.921.531.192;9.110.616.306;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;
29/02/2020;19;Sicilia;3.811.569.725;133.623.567;1;0;1;1;2;0;2;0;4;6;;;;;;;;;;;;
29/02/2020;9;Toscana;4.376.923.077;1.125.588.885;7;0;7;3;10;3;1;0;11;531;;;;;;;;;;;;
29/02/2020;4;P.A. Trento;4.606.893.511;1.112.123.097;0;0;0;0;0;0;0;0;0;43;;;;;;;;;;;;
29/02/2020;10;Umbria;4.310.675.841;1.238.824.698;0;0;0;0;0;0;0;0;0;31;;;;;;;;;;;;
29/02/2020;2;Valle d'Aosta;4.573.750.286;7.320.149.366;0;0;0;0;0;0;0;0;0;9;;;;;;;;;;;;
29/02/2020;5;Veneto;4.543.490.485;1.233.845.213;24;11;35;154;189;40;0;2;191;8659;;;;;;;;;;;;
01/03/2020;13;Abruzzo;4.235.122.196;1.339.843.823;3;0;3;2;5;3;0;0;5;52;;;;;;;;;;;;
01/03/2020;17;Basilicata;4.063.947.052;1.580.514.834;0;0;0;0;0;0;0;0;0;39;;;;;;;;;;;;
01/03/2020;4;P.A. Bolzano;4.649.933.453;1.135.662.422;1;0;1;0;1;0;0;0;1;20;;;;;;;;;;;;
01/03/2020;18;Calabria;3.890.597.598;1.659.440.194;0;0;0;1;1;0;0;0;1;35;;;;;;;;;;;;
01/03/2020;15;Campania;4.083.956.555;1.425.084.984;4;0;4;13;17;4;0;0;17;373;;;;;;;;;;;;
01/03/2020;8;Emilia Romagna;4.449.436.681;113.417.208;127;13;140;137;277;64;0;8;285;1795;;;;;;;;;;;;
01/03/2020;6;Friuli Venezia Giulia;456.494.354;1.376.813.649;0;0;0;6;6;6;0;0;6;243;;;;;;;;;;;;
01/03/2020;12;Lazio;4.189.277.044;1.248.366.722;3;0;3;0;3;0;3;0;6;724;;;;;;;;;;;;
01/03/2020;7;Liguria;4.441.149.315;89.326.992;12;1;13;8;21;-17;4;0;25;121;;;;;;;;;;;;
01/03/2020;3;Lombardia;4.546.679.409;9.190.347.404;406;106;512;375;887;335;73;24;984;6879;;;;;;;;;;;;
01/03/2020;11;Marche;4.361.675.973;135.188.753;12;5;17;8;25;14;0;0;25;101;;;;;;;;;;;;
01/03/2020;14;Molise;4.155.774.754;1.465.916.051;0;0;0;0;0;0;0;0;0;6;;;;;;;;;;;;
01/03/2020;1;Piemonte;450.732.745;7.680.687.483;11;2;13;36;49;38;0;0;49;362;;;;;;;;;;;;
01/03/2020;16;Puglia;4.112.559.576;1.686.736.689;1;0;1;2;3;0;0;0;3;262;;;;;;;;;;;;
01/03/2020;20;Sardegna;3.921.531.192;9.110.616.306;0;0;0;0;0;0;0;0;0;29;;;;;;;;;;;;
01/03/2020;19;Sicilia;3.811.569.725;133.623.567;1;0;1;6;7;5;2;0;9;291;;;;;;;;;;;;
01/03/2020;9;Toscana;4.376.923.077;1.125.588.885;7;0;7;5;12;2;1;0;13;572;;;;;;;;;;;;
01/03/2020;4;P.A. Trento;4.606.893.511;1.112.123.097;0;0;0;0;0;0;0;0;0;122;;;;;;;;;;;;
01/03/2020;10;Umbria;4.310.675.841;1.238.824.698;0;0;0;2;2;2;0;0;2;35;;;;;;;;;;;;
01/03/2020;2;Valle d'Aosta;4.573.750.286;7.320.149.366;0;0;0;0;0;0;0;0;0;10;;;;;;;;;;;;
01/03/2020;5;Veneto;4.543.490.485;1.233.845.213;51;13;64;197;261;72;0;2;263;9056;;;;;;;;;;;;
02/03/2020;13;Abruzzo;4.235.122.196;1.339.843.823;3;0;3;2;5;0;0;0;5;52;;;;;;;;;;;;
02/03/2020;17;Basilicata;4.063.947.052;1.580.514.834;0;0;0;0;0;0;0;0;0;39;;;;;;;;;;;;
02/03/2020;4;P.A. Bolzano;4.649.933.453;1.135.662.422;1;0;1;0;1;0;0;0;1;20;;;;;;;;;;;;
02/03/2020;18;Calabria;3.890.597.598;1.659.440.194;0;0;0;1;1;0;0;0;1;39;;;;;;;;;;;;
02/03/2020;15;Campania;4.083.956.555;1.425.084.984;4;0;4;13;17;0;0;0;17;373;;;;;;;;;;;;
02/03/2020;8;Emilia Romagna;4.449.436.681;113.417.208;148;16;164;160;324;47;0;11;335;1973;;;;;;;;;;;;
02/03/2020;6;Friuli Venezia Giulia;456.494.354;1.376.813.649;0;0;0;9;9;3;0;0;9;269;;;;;;;;;;;;
02/03/2020;12;Lazio;4.189.277.044;1.248.366.722;3;0;3;1;4;1;3;0;7;773;;;;;;;;;;;;
02/03/2020;7;Liguria;4.441.149.315;89.326.992;12;1;13;5;18;-3;4;0;22;121;;;;;;;;;;;;
02/03/2020;3;Lombardia;4.546.679.409;9.190.347.404;478;127;605;472;1077;190;139;38;1254;7925;;;;;;;;;;;;
02/03/2020;11;Marche;4.361.675.973;135.188.753;17;6;23;11;34;9;0;1;35;137;;;;;;;;;;;;
02/03/2020;14;Molise;4.155.774.754;1.465.916.051;0;0;0;0;0;0;0;0;0;13;;;;;;;;;;;;
02/03/2020;1;Piemonte;450.732.745;7.680.687.483;12;2;14;37;51;2;0;0;51;434;;;;;;;;;;;;
02/03/2020;16;Puglia;4.112.559.576;1.686.736.689;2;0;2;2;4;1;0;0;4;278;;;;;;;;;;;;
02/03/2020;20;Sardegna;3.921.531.192;9.110.616.306;0;0;0;0;0;0;0;0;0;29;;;;;;;;;;;;
02/03/2020;19;Sicilia;3.811.569.725;133.623.567;2;0;2;3;5;-2;2;0;7;307;;;;;;;;;;;;
02/03/2020;9;Toscana;4.376.923.077;1.125.588.885;7;0;7;5;12;0;1;0;13;613;;;;;;;;;;;;
